Date,Nickname,State,Location,Max.Temperature (C),Average Temperature in the Previous 7 Days Inclusive (C)
25/12/2001,Black Christmas bushfires,New South Wales,Blue Mountains,31.8,32.94
17/10/2002,Granite Belt Bushfires,Queensland,Ballandean/Glen Aplin,31.27,23.4
23/10/2002,"Toowoomba, Tara and Gatton: Bushfires",Queensland,Toowoomba,34.42,34.7
23/10/2002,"Toowoomba, Tara and Gatton: Bushfires",Queensland,Tara,35.45,36.35
23/10/2002,"Toowoomba, Tara and Gatton: Bushfires",Queensland,Gatton,35.8,35.3
17/12/2002,Big Desert Fire,Victoria,Big Desert Wilderness Park,41.67,33.62
17/12/2002,Big Desert Fire,Victoria,Wyperfield National Park,40.77,33.77
8/01/2003,2003 Eastern Victorian alpine bushfires,Victoria,Mt Buffalo,21.69,26.91
8/01/2003,2003 Eastern Victorian alpine bushfires,Victoria,Bright,21.69,26.91
18/01/2003,2003 Canberra bushfires,Australian Capital Territory,Canberra,38.43,32.26
10/01/2005,2005 Eyre Peninsula bushfire,South Australia,Wangary,34.53,25.13
10/01/2005,2005 Eyre Peninsula bushfire,South Australia,Wanilla,38.19,26.04
10/01/2005,2005 Eyre Peninsula bushfire,South Australia,Port Lincoin,39.03,25.31
10/01/2005,2005 Eyre Peninsula bushfire,South Australia,North Shields,39.03,25.31
10/01/2005,2005 Eyre Peninsula bushfire,South Australia, Louth Bay,39.03,25.31
31/12/2005,2005 Victoria bushfire,Victoria,Stawell,40.55,30.32
31/12/2005,2005 Victoria bushfire,Victoria,Yea,40.81,31.14
19/01/2006,Grampians Fire,Victoria,The Grampians,33.73,28.55
22/01/2006,Grampians Fire,Victoria,Dunkeld,41.28,33.53
6/02/2006,"Pulletop bushfire, Wagga Wagga",New South Wales,Pulletop,35.37,36.97
24/09/2006,Shoalhaven bushfire,New South Wales,Shoalhaven,30.32,25.64
24/09/2006,Hawkesbury River bushfire,New South Wales,Hawkesbury River,32.67,28.67
12/10/2006,Hobart's Eastern Shore bushfire,Tasmania,Hobart,29.73,20.75
13/11/2006,Blue Mountains bushfire,New South Wales,Blue Mountains,30.87,26.09
10/01/2007,Mt Bold bushfire,South Australia,Mt Bold,35.79,27.91
3/02/2007,Dwellingup bushfire,Western Australia,Dwellingup,39.07,36.86
6/12/2007,2007 Kangaroo Island bushfires,South Australia,Flinders Chase National Park,27.18,19.78
30/12/2007,Boorabbin National Park,Western Australia,Boorabbin National Park,43.85,37.69
13/01/2009,Port Lincoln bushfire,South Australia,Port Lincoln,42.6,26.48
28/01/2009,Black Saturday bushfires,Victoria,Delburn,42.15,30.24
29/01/2009,Black Saturday bushfires,Victoria,Branxholme,43.45,31.22
7/02/2009,Black Saturday bushfires,Victoria,Delburn,45.01,29.82
7/02/2009,Black Saturday bushfires,Victoria,Kinglake,43.4,33.17
7/02/2009,Black Saturday bushfires,Victoria,Toolangi,43.4,33.17
7/02/2009,Black Saturday bushfires,Victoria,Healesville,43.4,33.17
7/02/2009,Black Saturday bushfires,Victoria,Strathewen,43.4,33.17
7/02/2009,Black Saturday bushfires,Victoria,St Andrew,43.4,33.17
7/02/2009,Black Saturday bushfires,Victoria,Marysville,41.45,33.9
7/02/2009,Black Saturday bushfires,Victoria,Buxton,41.45,33.9
7/02/2009,Black Saturday bushfires,Victoria,Kilmore,42.37,34.77
7/02/2009,Black Saturday bushfires,Victoria,Flowerdale,42.37,34.77
7/02/2009,Black Saturday bushfires,Victoria,Bendigo,44.95,39.11
7/02/2009,Black Saturday bushfires,Victoria,Maiden Gully,44.95,39.11
7/02/2009,Black Saturday bushfires,Victoria,Horsham,46.42,40.42
7/02/2009,Black Saturday bushfires,Victoria,Coleraine,43.79,34.62
7/02/2009,Black Saturday bushfires,Victoria,Churchill,45.09,29.51
7/02/2009,Black Saturday bushfires,Victoria,Murrindindi,41.35,33.9
7/02/2009,Black Saturday bushfires,Victoria,Upper Ferntree Gully,39.34,29.58
19/11/2009,2009 South Australia bushfire,South Australia,Curramulka,32.85,27.75
19/11/2009,2009 South Australia bushfire,South Australia,Pine Point,32.85,27.75
19/11/2009,2009 South Australia bushfire,South Australia,Spring Gully,42.53,40.44
19/11/2009,2009 South Australia bushfire,South Australia,Wirrabara,39.49,36.99
23/12/2009,2009 Port Lincoln bushfire,South Australia,Port Lincoln,38.05,27.76
18/01/2013,Warrumbungle bushfire,New South Wales,Warrumbungle,39.93,37.39
13/10/2013,2013 New South Wales bushfires,New South Wales,Salt Ash,35.02,28.39
13/10/2013,2013 New South Wales bushfires,New South Wales,Heatherbrae,35.02,28.39
13/10/2013,2013 New South Wales bushfires,New South Wales,Raymond Terrace,35.02,28.39
22/10/2013,2013 New South Wales bushfires,New South Wales,Lithgow,26.71,23.74
22/10/2013,2013 New South Wales bushfires,New South Wales,Mount Victoria,26.71,23.74
29/01/2015,2015 O'Sullivan bushfire ,Western Australia,Northcliffe,22.8,25.44
29/01/2015,2015 O'Sullivan bushfire ,Western Australia,Windy Harbour,22.8,25.44
13/02/2017,Tingha bushfire,New South Wales,Tingha,33.5,36.33
